accession	Plantheight	Earheight	Earleafwidth	Earleaflength	Tasselmainaxislength	Tasselbranchnumber	Leafnumberaboveear	Earlength	Eardiameter	Cobdiameter	Earrownumber	Kernernumberperrow	100grainweight	cobweight	kernellength	Kernelwidth	Kernelthickness	Silkingtime	Pollenshed	Headingdate	cobcolor
MODEM-RY713	160.2593586	62.38963213	8.110531043	64.26086815	28.90005159	9.260640959	5.191578146	9.685338094	3.869826453	2.377641972	12.69965795	19.63213079	24.00846451	13.31753515	9.255489639	7.338424914	4.64184661	69.8356	67.896	66.8382	0.0
MODEM-RY729	155.2459834	59.26129409	8.749707623	75.95073434	27.05545848	15.52247575	5.661480754	12.46431512	3.54872973	2.085982216	13.83747992	24.90260384	19.7189331	14.1115229	8.548512068	7.423113886	4.419005155	71.7431	70.0436	68.2743	
MODEM-RY732	138.9927754	46.5866385	6.946291556	60.21211097	27.36289067	11.67256918	5.375561178	9.825196345	3.960641687	2.601234672	16.73375405	18.66264578	17.81247469	13.12404234	7.844901056	6.414210478	4.644667388	71.3343	66.797	62.9606	
MODEM-RY737	153.4425922	45.28766748	8.652918061	67.74727533	25.23615	2.382425763	6.315228783	10.75172068	3.496033798	2.428563442	13.36706843	18.42102502	21.67189526	11.80196075	8.110859286	7.876015781	5.222926859	69.2422	65.7926	62.462	1.0
MODEM-S22	161.5334476	79.59923001	9.536918973	59.92352265	27.08428025	7.42492392	4.597057469	12.38260434	3.665492175	2.281816529	11.04464416	23.59820582	23.09370929	14.58858277	0.0	0.0	0.0	71.206	70.27588	67.7426	1.0
MODEM-S37	130.1261914	48.79485509	8.877885958	61.07849147	27.99926088	9.545261724	5.7981964	11.40620637	3.852899307	2.353202799	13.75978684	18.21112684	24.27064071	12.2379317	8.267905795	7.954583598	5.230902993	74.2745	73.361	70.3833	0.0
MODEM-SC55	185.2074877	89.92752159	7.743925651	67.52359241	22.13743861	17.85144612	6.134130668	9.922115847	4.1890619	2.476012737	16.36342388	17.73001723	20.13460921	13.1313148	9.37831692	7.053725617	4.545692013	77.2725	75.3644	73.5072	0.0
MODEM-SHEN135	135.0574161	46.45599397	7.205750277	64.99862934	25.25479447	4.155110874	5.213867738	11.05950584	3.511353367	2.196341014	15.60874648	20.6952944	21.29550419	11.22447791	8.460147515	7.387266423	4.645093993	66.3512	66.4604	64.3586	
MODEM-SHEN137	164.4260564	69.87971464	8.682450998	73.19907248	30.91898533	9.249628273	4.662640092	12.76293752	4.003768071	2.402140698	13.17491186	24.03607794	21.60601157	16.31318804	9.125820334	8.755677142	5.090414862	68.8139	67.3508	63.8008	0.0
MODEM-SHEN5003	122.9404173	37.44755855	7.702359261	60.35815666	27.02974829	9.753320738	5.120993403	10.91767818	3.477796217	2.106652545	13.43904895	18.80085393	18.93894229	8.733487595	9.346754847	7.512344226	4.531113056	72.4543	70.022	66.59	1.0
MODEM-SI273	177.2026126	68.3031032	8.198968244	61.12019506	26.85449025	10.44833825	5.673725641	10.30525531	4.254352443	2.654831449	14.18240619	20.43280907	23.57337168	13.64590346	9.392663317	8.317904834	4.409179961	65.9229	64.457	62.2388	0.0
MODEM-SI434	119.8731479	34.71280709	7.1672847	59.07232448	30.23546015	6.665141034	5.570732367	10.20020088	3.837905716	2.278454233	11.63079488	17.60502577	22.1020061	10.52189762	8.316219437	9.278907017	4.844942619	71.4706	66.3212	62.9606	0.0
MODEM-SI444	144.325688	43.50298129	8.212460691	63.05744336	31.26204364	7.310161271	5.319873055	11.40443749	3.502234576	1.948116079	11.61272964	21.37514536	24.07847995	8.88595831	8.232492824	8.404330502	4.701335856	66.8866	63.7892	59.3381	0.0
MODEM-SI446	167.9380846	56.70321119	8.545283131	68.64824866	30.92285558	8.31728637	5.688829583	11.94559796	3.655716646	2.308302506	14.36700063	23.92871208	20.9104696	13.07733718	9.356486435	7.290557234	4.404901266	72.6968	66.4643	64.2532	0.0
MODEM-SW92E114	182.3559795	74.49781714	9.301571449	76.62255846	34.3793995	9.347243092	6.149450146	14.1072865	3.802607546	2.64534159	13.23528605	23.30265142	22.97126798	23.37305865	7.975239297	8.431070465	4.728591656	74.3816	73.2497	71.6105	0.0
MODEM-SY1032	190.8099498	71.62459336	8.954132115	68.05933852	30.60053587	6.061248405	5.548533642	12.7438631	3.47828821	2.20075973	15.23946488	21.74737081	0.0	19.08283006	8.094026486	7.010715413	4.980339959	76.9205	71.2105	68.8488	1.0
MODEM-SY1035	179.9962137	56.30361239	7.215357126	68.69487071	26.3349143	12.47897345	7.058934884	11.10244979	4.110751452	2.591458554	16.10834712	15.98334175	0.0	14.53854152	9.151126284	7.272146588	4.607997275	71.5977	68.2412	63.6892	1.0
MODEM-SY1039	181.3220487	67.86931424	8.310541187	76.97514339	28.49467116	7.676077392	6.373497512	12.24819337	3.362899452	2.225740969	13.21264573	19.63794984	22.3403134	16.86922969	8.388069851	7.633007293	5.033034812	74.9169	72.8045	69.8254	0.0
MODEM-SY1052	168.6101963	64.3523004	8.212094472	69.15003259	29.10674257	16.55902591	5.589468512	11.39597582	3.8316053	2.539836689	14.28051425	17.88705777	25.18874209	15.92581713	8.856845824	7.79840801	5.049265296	68.2785	66.9056	65.028	1.0
MODEM-SY1077	164.8942723	71.68453729	9.452523078	68.17189375	27.46509673	8.640511803	4.915274698	12.11198959	3.531779458	2.235044752	12.54098284	21.64071286	19.48065261	16.31699981	9.319496693	6.928647815	4.179892728	73.9533	71.4689	67.5941	1.0
